,original,prediction
30695,8700.0,8772.0
30696,69392.0,63846.0
30697,22913.0,13739.0
30698,1926.0,1026.0
30699,1482.0,1031.0
30700,2069.0,1129.0
30701,1760.0,1049.0
30702,1406.0,1305.0
30703,3255.0,3204.0
30704,4178.0,2819.0
30705,2075.0,1095.0
30706,12007.0,3457.6666666666665
30707,67755.0,33864.0
30708,3242.0,1974.5
30709,83406.0,27191.333333333332
30710,1386.0,1288.0
30711,1996.0,1620.0
30712,3525.0,3207.0
30713,19141.0,5297.666666666667
30714,2429.0,1041.0
30715,7004.0,3150.3333333333335
30716,10179.0,5671.0
30717,1148.0,1430.0
30718,8957.0,3114.0
30719,6541.0,5456.0
30720,5464.0,1902.0
30721,2302.0,1401.6666666666667
30722,2631.0,3869.0
30723,1154.0,1125.0
30724,1364.0,2101.0
30725,5296.0,1957.3333333333333
30726,9924.0,3804.6666666666665
30727,4306.0,2118.0
30728,1277.0,1242.0
30729,2301.0,1509.0
30730,3250.0,2023.0
30731,1092.0,1160.0
30732,64358.0,64107.0
30733,12891.0,7867.0
30734,11469.0,6532.0
30735,5416.0,4319.75
30736,1351.0,1392.0
30737,77070.0,63991.0
30738,13110.0,13992.0
30739,5735.0,5937.0
30740,1091.0,1530.5
30741,2215.0,2974.3333333333335
30742,1504.0,1226.5
30743,6326.0,4717.0
30744,8857.0,8404.5
30745,2610.0,1976.0
30746,7738.0,7364.0
30747,1553.0,1930.0
30748,2897.0,1236.0
30749,4704.0,3165.0
30750,1772.0,2795.0
30751,1018.0,1747.0
30752,1838.0,1798.0
30753,1178.0,1325.0
30754,2555.0,1722.0
30755,1795.0,1018.0
30756,8026.0,7498.0
30757,2885.0,2090.0
30758,1823.0,1092.0
30759,9195.0,8525.0
30760,1035.0,1081.0
30761,1012.0,1309.0
30762,1595.0,1464.0
30763,2885.0,3335.0
30764,4493.0,4711.0
30765,6783.0,7497.0
30766,3273.0,2815.0
30767,14250.0,15944.0
30768,6031.0,4874.0
30769,54192.0,60498.0
30770,1685.0,1190.0
30771,1971.0,1799.0
30772,3663.0,4324.0
30773,8410.0,7567.0
30774,69300.0,84689.0
30775,2911.0,1955.0
30776,10131.0,9569.0
30777,1455.0,1245.0
30778,2382.0,1695.0
30779,1117.0,1703.0
30780,5972.0,3102.0
30781,4631.0,4148.0
30782,13031.0,14019.0
30783,8785.0,7378.0
30784,85363.0,72466.0
30785,1420.0,1931.0
30786,3649.0,2922.0
30787,3486.0,1651.0
30788,61135.0,61064.0
30789,7898.0,6440.0
30790,2976.0,3215.0
30791,19184.0,19789.0
30792,2192.0,2106.0
30793,9995.0,9639.0
30794,1038.0,1143.0
30795,9897.0,12544.0
30796,7424.0,4363.0
30797,3921.0,2726.0
30798,2790.0,1781.0
30799,1732.0,1375.0
30800,1215.0,1144.0
